age,position,games_played,games_started,minutes,rebounds,assists,steals,blocks,turnovers,fouls,points,trip_dbl,all_star
24,C,59,3,907,274,32,30,60,60,90,305,0,0
25,PF,71,0,1029,298,35,34,114,48,119,243,0,0
26,C,67,2,1430,410,71,14,100,64,144,513,0,0
27,C,32,2,570,155,6,8,41,26,84,161,0,0
29,C,5,0,34,9,0,0,4,1,6,6,0,0
30,C,71,1,1460,442,31,41,175,69,174,452,0,0
31,PF,76,0,1695,483,33,42,143,59,171,448,0,0
32,C,45,0,732,219,20,23,58,25,79,250,0,0
33,C,32,1,486,148,6,19,46,17,52,168,0,0
34,C,42,0,624,172,17,16,44,24,89,207,0,0
35,C,72,0,1396,379,19,32,97,53,162,477,0,0
36,C,60,20,1132,299,43,26,61,40,88,320,0,0
37,C,27,15,402,98,12,15,13,9,29,105,0,0
37,C,7,1,36,9,3,1,3,2,4,13,0,0
37,C,20,14,366,89,9,14,10,7,25,92,0,0
38,C,12,0,114,31,5,5,7,5,20,28,0,0
24,SF,1,0,15,1,0,0,0,1,1,2,0,0
23,SF,36,7,564,70,32,11,4,32,48,207,0,0
24,SG,17,0,256,32,21,7,0,22,33,98,0,0
29,SF,17,12,461,34,26,5,3,25,35,163,0,0
30,SF,65,2,1495,148,103,48,7,80,131,693,0,0
31,SF,78,26,1773,175,81,48,11,62,147,564,0,0
32,SG,74,19,1744,204,83,56,5,60,148,545,0,0
33,SG,13,0,192,27,14,4,1,2,25,65,0,0
34,SF,30,0,308,24,11,3,0,7,35,86,0,0
21,SF,26,2,286,23,18,3,6,13,24,94,0,0
22,SG,51,2,603,79,41,8,2,30,35,190,0,0
23,"SF,SG",39,2,401,72,42,15,5,25,25,149,0,0
23,SF,10,0,94,14,9,3,2,7,7,34,0,0
23,SG,29,2,307,58,33,12,3,18,18,115,0,0
24,SG,80,62,2309,300,149,74,28,106,154,810,0,0
26,SG,51,15,721,86,41,21,14,42,54,179,0,0
23,SF,66,13,1839,187,227,86,13,128,136,770,0,0
24,SG,38,13,978,109,145,48,4,82,73,409,0,0
25,SG,64,58,2201,258,220,90,11,167,149,1080,1,0
26,SG,82,82,2859,363,301,120,14,165,188,1269,0,0
27,SG,70,27,1860,189,216,68,8,87,113,757,0,0
28,PG,76,76,2556,264,325,90,16,128,141,1057,0,0
29,SG,51,46,1810,182,228,66,3,90,79,694,0,0
30,SG,47,32,1239,128,143,36,4,70,89,432,0,0
31,SG,43,11,1047,143,101,23,6,54,98,349,0,0
31,SG,20,8,582,83,53,15,4,37,49,216,0,0
31,SG,23,3,465,60,48,8,2,17,49,133,0,0
32,SF,50,32,1190,113,133,52,7,56,115,399,0,0
33,SG,28,0,396,52,44,12,1,25,49,141,0,0
22,SF,55,9,647,132,29,19,25,24,45,208,0,0
23,SF,75,10,1228,245,66,41,23,66,109,532,0,0
23,SF,51,2,710,149,32,28,16,40,64,329,0,0
23,SF,24,8,518,96,34,13,7,26,45,203,0,0
24,SF,38,0,519,93,25,15,7,16,54,236,0,0
25,SF,48,4,463,84,23,22,13,23,48,178,0,0
26,SG,10,1,107,21,8,0,6,4,13,28,0,0
21,SF,33,8,358,72,28,15,7,10,28,74,0,0
22,SF,78,11,1245,244,123,60,29,59,97,350,0,0
23,SF,72,14,1020,208,91,51,26,39,63,246,0,0
24,SF,74,67,1978,396,202,115,60,94,114,585,0,0
25,SF,43,40,1281,251,128,54,37,58,112,346,1,0
26,SF,67,28,1330,285,162,54,37,66,111,390,0,0
27,PF,27,27,749,167,99,29,18,40,51,368,0,0
20,PF,66,30,1312,311,52,44,20,63,157,487,0,0
21,PF,63,6,911,202,37,25,14,56,81,487,0,0
22,PF,64,14,1424,355,52,30,38,49,137,681,0,0
23,PF,61,61,1964,471,54,50,26,57,146,980,0,0
24,PF,81,22,2503,519,97,42,31,97,179,1309,0,0
25,PF,22,14,795,142,17,10,7,20,47,436,0,0
26,PF,61,5,1675,295,55,33,20,62,113,833,0,0
27,PF,66,7,2008,396,73,38,25,90,109,1124,0,0
28,PF,72,72,2116,330,68,31,14,55,142,979,0,0
29,PF,66,50,1725,331,60,24,21,42,126,617,0,0
30,PF,25,8,322,54,19,4,1,14,25,63,0,0
30,PF,15,8,278,45,17,3,1,12,23,56,0,0
30,PF,10,0,44,9,2,1,0,2,2,7,0,0
31,C,2,0,14,7,2,1,0,1,1,5,0,0
19,C,6,0,9,4,0,2,0,0,1,0,0,0
23,SG,65,0,1066,179,49,27,8,73,113,386,0,0
24,SG,82,2,1602,227,89,66,18,91,145,681,0,0
25,SG,50,2,1072,132,56,39,10,66,89,427,0,0
26,SF,82,82,2700,384,239,96,32,194,182,1009,0,0
27,SG,82,82,2396,333,189,82,40,131,202,710,0,0
28,SG,82,6,1596,249,76,48,15,97,134,411,0,0
29,SF,82,9,1731,254,87,73,20,114,177,687,0,0
30,SG,80,37,1974,222,122,68,17,118,182,635,0,0
31,"SF,SG",66,5,1171,191,70,40,14,50,138,255,0,0
31,SG,1,0,20,1,0,0,0,1,2,0,0,0
31,SF,65,5,1151,190,70,40,14,49,136,255,0,0
32,SF,48,1,638,81,30,17,6,24,75,126,0,0
19,C,11,0,30,9,0,1,3,2,1,13,0,0
20,C,3,0,6,3,1,0,1,1,0,0,0,0
23,C,41,8,680,157,35,31,27,41,95,240,0,0
24,C,41,4,470,97,27,18,13,26,98,134,0,0
25,C,73,11,1007,280,65,29,25,80,180,439,0,0
21,PF,2,0,11,1,0,2,0,1,0,2,0,0
22,PF,5,0,20,3,2,0,0,1,2,7,0,0
23,PF,2,0,13,5,0,0,2,3,1,1,0,0
19,SF,77,23,1897,339,150,60,61,122,173,525,0,0
20,SG,81,71,2541,542,207,73,85,173,254,1030,0,0
21,PG,80,79,2823,612,345,94,113,208,258,1350,5,0
22,SF,80,80,2845,700,434,131,151,234,246,1832,3,1
23,PF,75,75,2756,753,361,109,106,223,231,2014,1,1
24,PF,72,72,2358,898,424,92,110,268,232,1994,5,1
25,PF,63,63,1917,856,354,61,66,230,195,1857,4,1
26,PF,32,32,1080,375,189,40,42,117,96,926,4,1
23,SF,2,0,6,1,0,0,0,0,2,6,0,0
27,SF,20,2,129,24,15,7,2,12,18,55,0,0
28,SF,23,0,210,52,17,7,5,19,32,56,0,0
20,PG,25,17,667,111,94,17,11,51,51,275,0,0
25,PF,24,1,498,93,3,9,31,17,55,85,0,0
26,C,65,28,1048,197,27,20,93,41,139,144,0,0
27,C,80,16,1322,249,12,20,109,45,158,218,0,0
28,C,75,11,1463,266,24,10,93,36,194,153,0,0
29,C,64,51,1349,250,9,36,84,45,126,219,0,0
30,C,62,3,566,115,13,13,42,22,49,87,0,0
31,C,33,0,186,38,2,3,12,3,17,28,0,0
31,C,12,0,37,7,0,0,4,1,4,6,0,0
31,C,21,0,149,31,2,3,8,2,13,22,0,0
32,C,49,0,406,93,5,12,49,12,55,87,0,0
33,C,19,0,96,21,1,2,12,2,15,18,0,0
34,C,19,0,122,31,3,2,6,4,11,25,0,0
31,C,50,26,925,209,58,19,12,55,126,352,0,0
32,C,63,3,1037,189,49,18,14,49,132,356,0,0
19,SF,82,82,2995,498,227,97,41,247,225,1725,0,0
20,SF,75,75,2608,426,194,68,30,224,229,1558,0,0
21,SF,80,80,2941,394,216,88,42,218,229,2122,0,0
22,SF,65,65,2486,391,249,77,23,234,203,1881,1,1
23,SF,77,77,2806,571,259,98,39,253,253,1978,0,1
24,SF,66,66,2277,450,222,75,24,199,195,1504,0,0
25,SF,69,69,2634,454,222,88,30,209,225,1943,0,1
26,SF,77,77,2751,563,221,68,46,206,224,1970,0,1
26,SF,50,50,1774,382,140,43,31,142,134,1259,0,1
26,SF,27,27,977,181,81,25,15,64,90,711,0,1
27,SF,55,55,1876,344,200,62,24,144,156,1245,1,1
28,PF,67,67,2482,460,171,52,32,175,205,1920,0,1
29,PF,77,77,2982,622,242,95,51,198,224,2112,0,1
30,SF,40,40,1428,264,122,40,17,89,87,966,0,1
31,SF,72,72,2530,556,299,62,38,176,180,1573,0,1
32,SF,74,74,2538,438,213,60,34,153,198,1659,0,1
33,PF,78,78,2501,453,103,47,49,99,197,1261,0,0
34,PF,10,2,294,54,5,4,7,8,32,134,0,0
35,PF,58,58,1902,368,85,49,27,100,171,895,0,0
36,PF,30,3,762,104,38,25,22,30,67,401,0,0
20,SF,74,62,1481,184,55,52,14,45,130,438,0,0
21,SF,67,6,1352,197,47,46,22,55,140,469,0,0
22,SF,69,68,2066,364,108,96,45,79,167,733,0,0
23,SF,22,22,741,129,33,37,16,35,60,306,0,0
23,PG,5,0,27,1,1,1,0,3,5,6,0,0
24,C,59,41,736,185,16,21,8,52,157,196,0,0
25,C,52,34,601,144,15,24,6,42,104,121,0,0
26,C,28,0,248,66,10,6,2,17,39,72,0,0
22,PF,12,0,72,17,3,0,3,7,9,19,0,0
23,"C,PF",32,3,256,52,13,14,3,10,50,32,0,0
23,PF,1,0,6,1,1,0,0,1,1,1,0,0
23,PF,1,0,4,1,0,1,0,0,0,2,0,0
23,C,30,3,246,50,12,13,3,9,49,29,0,0
23,PG,24,0,304,25,35,13,0,13,18,48,0,0
24,PG,81,32,1961,219,269,65,4,63,171,544,0,0
25,PG,58,4,930,110,96,27,3,37,96,261,0,0
26,PG,15,0,164,31,21,4,0,4,14,48,0,0
20,PG,47,30,1155,132,174,69,11,97,115,511,0,0
21,PG,82,82,2866,386,514,124,17,290,260,1497,0,0
22,PG,55,52,2066,254,275,103,12,226,176,1078,3,0
23,PG,80,80,3274,378,411,139,23,242,245,2038,0,1
24,PG,80,80,3384,280,484,161,25,297,286,2346,0,1
25,PG,74,73,2942,338,443,139,13,236,249,2105,0,1
26,PG,13,8,425,51,66,23,1,49,30,252,0,0
27,PG,2,2,63,9,20,0,1,1,4,26,0,0
28,PG,32,32,1169,133,230,41,9,117,95,722,1,0
29,PG,70,16,1796,189,274,74,21,177,188,755,0,0
29,PG,21,14,726,70,117,30,12,71,76,363,0,0
29,PG,49,2,1070,119,157,44,9,106,112,392,0,0
30,PG,17,0,211,18,18,11,1,12,35,72,0,0
21,SG,35,0,196,16,8,7,1,8,26,64,0,0
22,SG,17,0,69,4,2,3,1,5,8,24,0,0
23,SG,56,0,434,43,14,12,2,24,49,151,0,0
19,SF,80,12,1382,242,85,70,18,73,150,468,0,0
20,SF,57,10,999,218,61,57,11,62,100,264,0,0
